X-LhucSUXgQ	NA	431.0	Advancing Dupuytren disease diagnosis and treatment
LKcl3SdhhpQ	NA	435.0	Advancing Dupuytren Disease Diagnosis and Treatment
z67UzHOAGOs	NA	5215.0	2023 Dupuytren Disease and Research for a Cure
LkOronhIgQU	NA	4090.0	2022 Dupuytren Disease and Research for a Cure
Eqpst2Of7ow	NA	1160.0	Biomarkers and the IDDB: 2021Symposium
4daubw3inaY	NA	6.0	Help Cure Dupuytren Disease
3Ph76fNAxBo	NA	50.0	Dupuytren is Everywhere!
KEGocYBiGkg	NA	7.0	Support Dupuytren Research
aqvLzZzqivM	NA	22.0	Dupuytren Research 2022
-jLfWXX3YUM	NA	1281.0	British Dupuytren Society Seven Questions
sAs4b1pNjEU	NA	2969.0	2019 Dupuytren Review
JZMHER_m-SI	NA	78.0	Research for a Dupuytren Cure
JJk42abIEeQ	NA	3395.0	Dupuytren Awareness WPB
Iu7ui2TQ4CY	NA	150.0	Dupuytren Research Explained
1JQOy7jNuxc	NA	77.0	Ending Dupuytren disease
XwyXkhHAiZ8	NA	61.0	Dupuytren disease anatomy
2Dq1u73_LZU	NA	276.0	2018Germany
cR-2s5DUzUc	NA	40.0	Using a finger goniometer
kLYBA2hLRPs	NA	2451.0	Dupuytren Awareness
R1fg99FAIfE	NA	2781.0	Amazing Things: Hands and Hand Surgery
jk7w-i8PPrs	NA	677.0	Dupuytren Severity
THqIKjgOnkU	NA	633.0	Dupuytren Decision Trees
iD3mYMmfN-Q	NA	863.0	Anatomy Cords
SgtXLK75Nz8	NA	215.0	2017 Dupuytren Awareness
8cDAYw0_gOw	NA	3633.0	Dupuytren Montage
wSZhfP1r1OY	NA	566.0	2010 IFSSH Needle Aponeurotomy presentation
JpEbk2eCP-Y	NA	136.0	WPBF Dupuytren Foundation Interview Apr 15 2016
hlQIh5_thNU	NA	194.0	WPTV Dupuytren Foundation Interview Mar 8 2016
AEtlrIjvGDM	NA	325.0	"Percutaneous Needle Fasciotomy" 2015 Dupuytren Symposium
hRJZEQzxy4U	NA	697.0	Drs. Paul Werker and Jos Aartsen "Introductory Remarks" 2015 Dupuytren Symposium
we5tJK4uY8U	NA	776.0	Dr. Clayton Peimer "PIP joint  Minimally invasive methods" 2015 Dupuytren Symposium
bKXguv2CscM	NA	465.0	Dr. Marie Badalamente "Concurrent Collagenase Injections" 2015 Dupuytren Symposium
b1HKOYVJRL4	NA	441.0	Dr. Jane C Messina "The Continuous Extension Technique" 2015 Dupuytren Symposium
3IASp1txMP0	NA	406.0	Dr. Michael Ng: "Genome-wide Association Study" 2015 Dupuytren Symposium
rNihCBbmTx8	NA	362.0	Dr. Rosanne Lanting: "Dupuytren Disease Clusters" 2015 Dupuytren Symposium
MKJlNbyux0o	NA	381.0	Catherine Ball "Systematic Review Of Non-Surgical Treatments" 2015 Dupuytren Symposium
